GenderID,TimeID,AgeID,RaceEthnicityID,RegionID,Year,Region,Race or Ethnicity,Sex,Age Group,Firearm Deaths,Alcohol-Related Deaths,Suicide Deaths
2,FALSE,5,3,1,2016,NYC,Asian/ Pacific Islander,Male,55-64,2,17,5
1,FALSE,4,2,1,2016,NYC,Black Non Hispanic,Female,45-54,1,26,2
2,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Male,Total,4,84,35
1,FALSE,6,3,2,2016,ROS,Asian/ Pacific Islander,Female,65-74,0,4,0
2,FALSE,8,4,2,2016,ROS,Hispanic,Male,85+,0,2,0
1,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Female,19-Oct,0,0,0
2,FALSE,7,3,1,2016,NYC,Asian/ Pacific Islander,Male,75-84,0,8,2
1,FALSE,5,1,1,2016,NYC,White Non Hispanic,Female,55-64,0,35,14
2,FALSE,7,1,2,2016,ROS,White Non Hispanic,Male,75-84,42,160,56
1,FALSE,3,2,1,2016,NYC,Black Non Hispanic,Female,35-44,1,19,4
2,FALSE,1,1,1,2016,NYC,White Non Hispanic,Male,20-24,3,7,5
2,FALSE,FALSE,4,2,2016,ROS,Hispanic,Male,Total,39,147,46
1,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Female,9-Jan,0,0,0
1,FALSE,6,4,2,2016,ROS,Hispanic,Female,65-74,0,6,0
1,FALSE,1,1,2,2016,ROS,White Non Hispanic,Female,20-24,2,3,10
2,FALSE,1,5,1,2016,NYC,Other,Male,20-24,2,2,0
1,FALSE,4,3,1,2016,NYC,Asian/ Pacific Islander,Female,45-54,0,6,10
2,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Male,9-Jan,0,0,0
2,FALSE,FALSE,5,2,2016,ROS,Other,Male,<1,0,0,0
2,FALSE,3,2,2,2016,ROS,Black Non Hispanic,Male,35-44,18,9,11
2,FALSE,FALSE,5,1,2016,NYC,Other,Male,<1,0,0,0
1,FALSE,3,4,2,2016,ROS,Hispanic,Female,35-44,1,4,3
1,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Female,Total,1,11,16
2,FALSE,5,3,2,2016,ROS,Asian/ Pacific Islander,Male,55-64,2,7,4
2,FALSE,FALSE,5,1,2016,NYC,Other,Male,9-Jan,0,0,0
1,FALSE,7,1,2,2016,ROS,White Non Hispanic,Female,75-84,2,106,12
1,FALSE,5,1,2,2016,ROS,White Non Hispanic,Female,55-64,6,215,37
2,FALSE,1,5,2,2016,ROS,Other,Male,20-24,0,0,0
1,FALSE,6,1,1,2016,NYC,White Non Hispanic,Female,65-74,3,31,12
2,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Male,9-Jan,1,0,0
2,FALSE,1,4,2,2016,ROS,Hispanic,Male,20-24,3,4,5
1,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Female,<1,0,0,0
1,FALSE,3,4,1,2016,NYC,Hispanic,Female,35-44,3,12,6
1,FALSE,FALSE,1,2,2016,ROS,White Non Hispanic,Female,<1,0,0,0
1,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Female,19-Oct,0,0,3
2,FALSE,1,3,1,2016,NYC,Asian/ Pacific Islander,Male,20-24,0,5,7
1,FALSE,FALSE,5,1,2016,NYC,Other,Female,19-Oct,0,0,0
2,FALSE,4,2,2,2016,ROS,Black Non Hispanic,Male,45-54,10,31,4
2,FALSE,7,2,1,2016,NYC,Black Non Hispanic,Male,75-84,1,20,1
2,FALSE,8,3,1,2016,NYC,Asian/ Pacific Islander,Male,85+,0,4,1
2,FALSE,FALSE,3,1,2016,NYC,Asian/ Pacific Islander,Male,19-Oct,1,0,1
1,FALSE,4,4,2,2016,ROS,Hispanic,Female,45-54,0,8,1
1,FALSE,1,4,2,2016,ROS,Hispanic,Female,20-24,2,2,3
2,FALSE,4,2,1,2016,NYC,Black Non Hispanic,Male,45-54,15,70,15
2,FALSE,1,1,2,2016,ROS,White Non Hispanic,Male,20-24,16,23,52
2,FALSE,3,1,1,2016,NYC,White Non Hispanic,Male,35-44,7,49,29
2,FALSE,5,5,1,2016,NYC,Other,Male,55-64,0,18,0
1,FALSE,1,2,2,2016,ROS,Black Non Hispanic,Female,20-24,0,0,1
1,FALSE,5,2,2,2016,ROS,Black Non Hispanic,Female,55-64,0,25,0
2,FALSE,5,2,1,2016,NYC,Black Non Hispanic,Male,55-64,4,123,8
1,FALSE,8,2,1,2016,NYC,Black Non Hispanic,Female,85+,0,3,0
2,FALSE,8,5,2,2016,ROS,Other,Male,85+,0,0,0
1,FALSE,2,3,1,2016,NYC,Asian/ Pacific Islander,Female,25-34,0,0,6
2,FALSE,4,4,1,2016,NYC,Hispanic,Male,45-54,2,118,9
1,FALSE,7,4,2,2016,ROS,Hispanic,Female,75-84,0,13,1
2,FALSE,2,4,2,2016,ROS,Hispanic,Male,25-34,16,16,9
1,FALSE,8,5,2,2016,ROS,Other,Female,85+,0,0,0
1,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Female,19-Oct,1,1,1
2,FALSE,FALSE,5,2,2016,ROS,Other,Male,19-Oct,1,0,2
2,FALSE,1,2,1,2016,NYC,Black Non Hispanic,Male,20-24,45,1,8
1,FALSE,FALSE,5,1,2016,NYC,Other,Female,Total,0,15,6
2,FALSE,6,4,2,2016,ROS,Hispanic,Male,65-74,1,15,2
1,FALSE,5,3,1,2016,NYC,Asian/ Pacific Islander,Female,55-64,0,3,4
2,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Male,19-Oct,0,0,4
1,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Female,<1,0,0,0
1,FALSE,7,2,1,2016,NYC,Black Non Hispanic,Female,75-84,0,10,0
2,FALSE,8,4,1,2016,NYC,Hispanic,Male,85+,0,6,2
1,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Female,<1,0,0,0
1,FALSE,FALSE,5,2,2016,ROS,Other,Female,9-Jan,0,0,0
1,FALSE,1,3,2,2016,ROS,Asian/ Pacific Islander,Female,20-24,0,1,3
1,FALSE,FALSE,2,1,2016,NYC,Black Non Hispanic,Female,Total,12,171,24
2,FALSE,8,5,1,2016,NYC,Other,Male,85+,0,0,0
1,FALSE,1,2,1,2016,NYC,Black Non Hispanic,Female,20-24,2,2,6
1,FALSE,FALSE,4,2,2016,ROS,Hispanic,Female,9-Jan,0,0,0
2,FALSE,2,3,2,2016,ROS,Asian/ Pacific Islander,Male,25-34,2,1,3
1,FALSE,6,5,1,2016,NYC,Other,Female,65-74,0,1,0
2,FALSE,6,1,1,2016,NYC,White Non Hispanic,Male,65-74,4,109,20
1,FALSE,3,3,2,2016,ROS,Asian/ Pacific Islander,Female,35-44,0,0,3
1,FALSE,8,3,2,2016,ROS,Asian/ Pacific Islander,Female,85+,0,1,2
1,FALSE,4,5,1,2016,NYC,Other,Female,45-54,0,4,2
1,FALSE,1,4,1,2016,NYC,Hispanic,Female,20-24,1,2,2
2,FALSE,FALSE,1,1,2016,NYC,White Non Hispanic,Male,Total,31,542,171
2,FALSE,2,4,1,2016,NYC,Hispanic,Male,25-34,16,50,23
2,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Male,19-Oct,14,0,3
2,FALSE,6,2,2,2016,ROS,Black Non Hispanic,Male,65-74,1,32,2
1,FALSE,4,2,2,2016,ROS,Black Non Hispanic,Female,45-54,0,13,0
2,FALSE,FALSE,2,2,2016,ROS,Black Non Hispanic,Male,<1,0,0,0
1,FALSE,FALSE,3,2,2016,ROS,Asian/ Pacific Islander,Female,9-Jan,0,0,0
1,FALSE,FALSE,4,2,2016,ROS,Hispanic,Female,Total,4,53,13
2,FALSE,6,3,1,2016,NYC,Asian/ Pacific Islander,Male,65-74,0,14,4
1,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Female,9-Jan,1,0,0
2,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Male,9-Jan,0,0,0
1,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Female,19-Oct,2,0,1
2,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Male,19-Oct,18,0,4
1,FALSE,1,2,1,2015,NYC,Black Non Hispanic,Female,20-24,0,0,3
2,FALSE,1,2,1,2015,NYC,Black Non Hispanic,Male,20-24,34,0,9
1,FALSE,2,2,1,2015,NYC,Black Non Hispanic,Female,25-34,4,10,5
2,FALSE,2,2,1,2015,NYC,Black Non Hispanic,Male,25-34,65,4,20
1,FALSE,3,2,1,2015,NYC,Black Non Hispanic,Female,35-44,2,9,4
2,FALSE,3,2,1,2015,NYC,Black Non Hispanic,Male,35-44,29,20,6
1,FALSE,4,2,1,2015,NYC,Black Non Hispanic,Female,45-54,0,34,8
2,FALSE,4,2,1,2015,NYC,Black Non Hispanic,Male,45-54,17,73,16
1,FALSE,5,2,1,2015,NYC,Black Non Hispanic,Female,55-64,2,58,2
2,FALSE,5,2,1,2015,NYC,Black Non Hispanic,Male,55-64,1,142,4
1,FALSE,6,2,1,2015,NYC,Black Non Hispanic,Female,65-74,1,38,0
2,FALSE,6,2,1,2015,NYC,Black Non Hispanic,Male,65-74,1,73,2
1,FALSE,7,2,1,2015,NYC,Black Non Hispanic,Female,75-84,0,9,1
2,FALSE,7,2,1,2015,NYC,Black Non Hispanic,Male,75-84,2,30,2
1,FALSE,8,2,1,2015,NYC,Black Non Hispanic,Female,85+,0,7,0
2,FALSE,8,2,1,2015,NYC,Black Non Hispanic,Male,85+,0,5,0
1,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Female,<1,0,0,0
2,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Male,<1,0,0,0
1,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Female,Total,12,165,24
2,FALSE,FALSE,2,1,2015,NYC,Black Non Hispanic,Male,Total,167,347,63
1,FALSE,FALSE,4,1,2015,NYC,Hispanic,Female,9-Jan,0,0,0
2,FALSE,FALSE,4,1,2015,NYC,Hispanic,Male,9-Jan,0,0,0
1,FALSE,FALSE,4,1,2015,NYC,Hispanic,Female,19-Oct,0,0,2
2,FALSE,FALSE,4,1,2015,NYC,Hispanic,Male,19-Oct,6,1,3
1,FALSE,1,4,1,2015,NYC,Hispanic,Female,20-24,3,1,2
2,FALSE,1,4,1,2015,NYC,Hispanic,Male,20-24,22,7,17
1,FALSE,2,4,1,2015,NYC,Hispanic,Female,25-34,3,8,6
2,FALSE,2,4,1,2015,NYC,Hispanic,Male,25-34,13,38,13
1,FALSE,3,4,1,2015,NYC,Hispanic,Female,35-44,1,13,4
2,FALSE,3,4,1,2015,NYC,Hispanic,Male,35-44,14,60,10
1,FALSE,4,4,1,2015,NYC,Hispanic,Female,45-54,0,21,8
2,FALSE,4,4,1,2015,NYC,Hispanic,Male,45-54,10,125,14
1,FALSE,5,4,1,2015,NYC,Hispanic,Female,55-64,0,58,1
2,FALSE,5,4,1,2015,NYC,Hispanic,Male,55-64,1,136,8
1,FALSE,6,4,1,2015,NYC,Hispanic,Female,65-74,0,33,4
2,FALSE,6,4,1,2015,NYC,Hispanic,Male,65-74,0,106,7
1,FALSE,7,4,1,2015,NYC,Hispanic,Female,75-84,0,18,2
2,FALSE,7,4,1,2015,NYC,Hispanic,Male,75-84,0,45,3
1,FALSE,8,4,1,2015,NYC,Hispanic,Female,85+,0,9,0
2,FALSE,8,4,1,2015,NYC,Hispanic,Male,85+,0,10,1
1,FALSE,FALSE,4,1,2015,NYC,Hispanic,Female,<1,0,1,0
2,FALSE,FALSE,4,1,2015,NYC,Hispanic,Male,<1,0,0,0
1,FALSE,FALSE,4,1,2015,NYC,Hispanic,Female,Total,7,162,29
2,FALSE,FALSE,4,1,2015,NYC,Hispanic,Male,Total,66,528,76
2,FALSE,FALSE,5,1,2015,NYC,Other,Male,9-Jan,0,0,0
2,FALSE,FALSE,5,1,2015,NYC,Other,Male,19-Oct,0,0,0
1,FALSE,1,5,1,2015,NYC,Other,Female,20-24,0,0,0
2,FALSE,1,5,1,2015,NYC,Other,Male,20-24,1,0,1
1,FALSE,2,5,1,2015,NYC,Other,Female,25-34,1,2,0
2,FALSE,2,5,1,2015,NYC,Other,Male,25-34,3,0,1
1,FALSE,3,5,1,2015,NYC,Other,Female,35-44,0,0,0
2,FALSE,3,5,1,2015,NYC,Other,Male,35-44,0,4,1
1,FALSE,4,5,1,2015,NYC,Other,Female,45-54,0,3,1
2,FALSE,4,5,1,2015,NYC,Other,Male,45-54,0,14,1
1,FALSE,5,5,1,2015,NYC,Other,Female,55-64,0,4,0
2,FALSE,5,5,1,2015,NYC,Other,Male,55-64,0,17,0
1,FALSE,6,5,1,2015,NYC,Other,Female,65-74,0,3,0
2,FALSE,6,5,1,2015,NYC,Other,Male,65-74,0,10,1
1,FALSE,7,5,1,2015,NYC,Other,Female,75-84,0,1,0
2,FALSE,7,5,1,2015,NYC,Other,Male,75-84,0,2,0
1,FALSE,8,5,1,2015,NYC,Other,Female,85+,0,0,0
2,FALSE,8,5,1,2015,NYC,Other,Male,85+,0,1,0
1,FALSE,FALSE,5,1,2015,NYC,Other,Female,<1,0,0,0
2,FALSE,FALSE,5,1,2015,NYC,Other,Male,<1,0,0,0
1,FALSE,FALSE,5,1,2015,NYC,Other,Female,Total,1,13,1
2,FALSE,FALSE,5,1,2015,NYC,Other,Male,Total,4,48,5
1,FALSE,FALSE,3,1,2015,NYC,Asian/ Pacific Islander,Female,9-Jan,0,0,0
2,FALSE,FALSE,3,1,2015,NYC,Asian/ Pacific Islander,Male,9-Jan,0,0,0
1,FALSE,FALSE,3,1,2015,NYC,Asian/ Pacific Islander,Female,19-Oct,0,0,0
2,FALSE,FALSE,3,1,2015,NYC,Asian/ Pacific Islander,Male,19-Oct,2,0,2
1,FALSE,1,3,1,2015,NYC,Asian/ Pacific Islander,Female,20-24,0,1,4
2,FALSE,1,3,1,2015,NYC,Asian/ Pacific Islander,Male,20-24,0,0,5
1,FALSE,2,3,1,2015,NYC,Asian/ Pacific Islander,Female,25-34,0,1,5
2,FALSE,2,3,1,2015,NYC,Asian/ Pacific Islander,Male,25-34,4,5,14
1,FALSE,3,3,1,2015,NYC,Asian/ Pacific Islander,Female,35-44,0,1,8
2,FALSE,3,3,1,2015,NYC,Asian/ Pacific Islander,Male,35-44,0,6,1
1,FALSE,4,3,1,2015,NYC,Asian/ Pacific Islander,Female,45-54,0,4,6
2,FALSE,4,3,1,2015,NYC,Asian/ Pacific Islander,Male,45-54,0,20,2
1,FALSE,5,3,1,2015,NYC,Asian/ Pacific Islander,Female,55-64,0,5,3
2,FALSE,5,3,1,2015,NYC,Asian/ Pacific Islander,Male,55-64,0,27,3
1,FALSE,6,3,1,2015,NYC,Asian/ Pacific Islander,Female,65-74,0,5,1
2,FALSE,6,3,1,2015,NYC,Asian/ Pacific Islander,Male,65-74,2,11,3
1,FALSE,7,3,1,2015,NYC,Asian/ Pacific Islander,Female,75-84,0,9,6
2,FALSE,7,3,1,2015,NYC,Asian/ Pacific Islander,Male,75-84,0,7,3
